"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
888,"NCT00321139","Assessment of Translesional Markers and Metabolomics",,"Completed","No Results Available","Coronary Artery Disease","","A comparison of the markers of oxidation, inflammation, and leucocyte activation in the following:|A comparison will be made between the translesional marker gradients (distal level - proximal level) of samples from the culprit lesion and non-culprit lesion.|A comparison will be made between levels (distal level - proximal level) to the culprit lesion before and after angioplasty/stenting.|3. A|A comparison of the markers of oxidation, inflammation, and leucocyte activation with plaque morphologic indices as assessed by intravascular ultrasound.|comparison of 1H-NMR metabolomic spectra from culprit and non-culprit lesions as well as plaques that have high-risk and low-risk plaque morphologies.","Emory University|Boston Scientific Corporation","All","21 Years and older   (Adult, Older Adult)","","50","Other|Industry","Observational","Time Perspective: Prospective","1189-2005","April 2006","January 2007","null","May 3, 2006","null","December 15, 2014","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00321139"
889,"NCT00314262","Phase I/II Study of Chemoprevention With EGFR and COX-2 Inhibitor",,"Completed","Has Results","Precancerous Conditions","Drug: Erlotinib & Celecoxib","Dose Escalation and Toxicity: Toxicities Including Grades 1 to 4|Clinical Outcome: Documented Progression|Clinical Outcome: Progression to a Higher-grade Dysplasia or Carcinoma","Emory University|National Institutes of Health (NIH)","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","17","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRB00024922","October 2006","November 2012","November 2012","April 13, 2006","October 24, 2014","October 24, 2014","Emory University Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00314262"
890,"NCT00313404","Infectivity of Norovirus in Groundwater-Human Challenge Study",,"Completed","No Results Available","Healthy","Biological: Safety tested norovirus inoculum","Infection with norovirus","Emory University|Johns Hopkins University","All","18 Years to 50 Years   (Adult)","Not Applicable","13","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","0584-2002|EPA-5 R01 AI056351-03|82911601-1|RSPHGH-CLM-2005-EPANoV","February 2006","January 2007","April 2011","April 12, 2006","null","November 19, 2013","Emory University General Clinical Research Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00313404"
891,"NCT00313391","Risperdal Consta and Health Care Utilization in Patients With Schizophrenia",,"Completed","No Results Available","Schizophrenia|Schizoaffective Disorder","Drug: Risperdal Consta","","Emory University|Janssen, L.P. - Investigator Initiated Studies Program","All","18 Years to 55 Years   (Adult)","Phase 4","null","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)","731-2005","December 2005","December 2007","null","April 12, 2006","null","September 25, 2014","Grady Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00313391"
892,"NCT00313365","Surgical Lavage vs Serial Needle Aspiration for Infected Joints",,"Withdrawn","No Results Available","Arthritis|Septic","Procedure: Surgical Lavage (Arthrotomy)|Procedure: Arthrocentesis (Serial needle aspiration)","Eradication of infection at 2 months","Emory University","All","18 Years and older   (Adult, Older Adult)","Phase 3","0","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","218-2006","April 2006","July 2013","July 2013","April 12, 2006","null","September 24, 2013","Grady Memorial Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00313365"
893,"NCT00313352","Effects of Beta-adrenergic in Adults w/Transposition of Great Arteries on Systemic Ventricular Function",,"Completed","No Results Available","Congenital Disorders","","functional class","Emory University","All","18 Years and older   (Adult, Older Adult)","","110","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","0293-2006","January 1997","March 2007","March 2007","April 12, 2006","null","November 13, 2013","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00313352"
894,"NCT00313339","Intra-coronary Infusion of Bone Marrow Derived Autologous CD34+ Selected Cells in Patients With Acute Myocardial Infarction","AMR-1","Completed","No Results Available","Myocardial Infarction|Coronary Artery Disease","Drug: Intra-coronary infusion","Cardiac function at 3 and 6 months follow-up will be compared to baseline measures obtained the day(s) before CD34+ cell product infusion.|Perfusion of the infarct region at 6 months follow-up will be compared to baseline measures obtained the day(s) before CD34+ cell product infusion|An assessment will be performed to determine if a correlation exist between clinical outcome and cell content (CD34+) and/or in vitro colony growth (CFU-GM, CFU-GEMM, BFU-E) CXCR-4 mobility and CXCR-4 and/or VEGF surface antigen expression.","Emory University|Texas Heart Institute","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","31","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0076-2006|FDA IND 12584","March 2006","March 2009","March 2013","April 12, 2006","null","November 18, 2013","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00313339"
895,"NCT00309764","CHF Management Using Telemedicine",,"Completed","No Results Available","Congestive Heart Failure (CHF)","Behavioral: Telemedicine","Change between study entry and exit (6-months later) in frequency of recommended CHF self-care practices (maintain CHF diary, check weight daily, check ankles and feet for swelling daily)|Knowledge of signs of worsening CHF (sudden weight gain, increase in shortness of breath)|Quality of life|Rate of acute CHF exacerbations (ED visits or hospital admissions for CHF or CHF-related conditions) in the 6-month intervention period compared with the 6-month period preceding study entry.","Kaiser Permanente|Robert Wood Johnson Foundation","All","30 Years and older   (Adult, Older Adult)","Not Applicable","106","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Project # 041873","November 2001","null","August 2002","April 3, 2006","null","April 3, 2006","Kaiser Permanente - Georgia, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00309764"
896,"NCT00308217","Single Ventricle Outcome",,"Completed","No Results Available","Heart Disease, Congenital|Single Ventricle|Hypoplastic Left Heart Syndrome","","","Emory University","All","Child, Adult, Older Adult","","30","Other","Observational","Time Perspective: Prospective","0604-2005","June 2005","null","June 2005","March 29, 2006","null","December 12, 2013","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00308217"
897,"NCT00303511","Pacemaker Therapy in Adults With Congenital Heart Defects",,"Completed","Has Results","Congenital Disorder","","Feasibility of Pacemaker Implant With Total Thoracoscopic Approach to Epicardial Pacing Lead","Emory University","All","19 Years and older   (Adult, Older Adult)","","10","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","0103-2006","January 1996","August 2006","August 2006","March 17, 2006","August 8, 2014","August 8, 2014","Emory University SOM Adult Cardiac Clinic, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00303511"
898,"NCT00299052","Efficacy of DBM on Fractures of the Shinbone (Tibia)",,"Completed","No Results Available","Closed Fracture|Open Fracture","Device: Grafton DBM|Biological: Reamings","Fracture healing","Emory University","All","18 Years and older   (Adult, Older Adult)","Phase 4","16","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1272-2005|3006","March 2006","December 2007","September 2008","March 6, 2006","null","September 24, 2013","Grady Memorial Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00299052"
899,"NCT00295178","Study Comparing CUBICIN® (Daptomycin for Injection) With Vancomycin in Cellulitis or Erysipelas",,"Completed","No Results Available","Cellulitis","Drug: Daptomycin|Drug: Vancomycin","investigating the differences in speed and degree of symptom resolution between CUBICIN and vancomycin|frequency of Serious Adverse Events between daptomycin and vancomycin will be described","Cubist Pharmaceuticals LLC","All","18 Years and older   (Adult, Older Adult)","Phase 4","80","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single|Primary Purpose: Treatment","3009-008|DAP-4CELL-05-02","February 20, 2006","August 9, 2006","August 9, 2006","February 23, 2006","null","September 7, 2017","Joseph Still Research Foundation, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00295178"
900,"NCT00289146","Comparison of Immune Response Following Surgical Management of Renal Tumors",,"Terminated","No Results Available","Kidney Cancer","","","Emory University","All","18 Years and older   (Adult, Older Adult)","","50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","0021-2005","November 2005","August 2006","August 2006","February 9, 2006","null","September 24, 2013","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00289146"
901,"NCT00289120","Effect of Cola on Urinary Stone Risk Factors",,"Completed","Has Results","Kidney Stone","Drug: Cola beverage|Drug: Deionized water","The Plasma and Urine Parameters|The Plasma Osmolarity|Total Urine Volume|Urinary pH","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","13","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","0133-2003|GCRC#2403","November 2003","October 2011","October 2011","February 9, 2006","July 8, 2014","June 8, 2016","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00289120"
902,"NCT00288444","Interaction of Docetaxel and Lonafarnib in Patients With Advanced Cancer",,"Terminated","No Results Available","Lung Cancer|Soft Tissue Sarcoma|Colorectal Carcinoma|Breast Cancer|Prostate Cancer","Drug: Lonafarnib|Drug: Docetaxel","Determine the molecular interaction|Determine safety and efficacy","Emory University|Aventis Pharmaceuticals|Schering-Plough","All","Child, Adult, Older Adult","Phase 1","38","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","174-2004|EU841-03","January 2006","May 2008","March 2009","February 8, 2006","null","December 18, 2012","Emory University Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00288444"
903,"NCT00284570","Pro-Calcitonin Levels Following Pediatric Cardiac Surgery",,"Completed","No Results Available","Congenital Heart Disease|Sepsis|Infection","","","Emory University|Children's Healthcare of Atlanta","All","up to 5 Years   (Child)","","49","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","IRB00002022","January 2006","null","March 2007","February 1, 2006","null","November 27, 2013","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00284570"
904,"NCT00283998","Comparing Surgical to Conservative Management in the Treatment of Type II Odontoid Fractures Among the Elderly",,"Completed","No Results Available","Odontoid Fractures Type II","Procedure: surgical versus conservative treatment","Quality of life using the Neck disability Index|Quality of life using the SF-36|Proportion of bony fusion between the two treatments|Proportion rate of non-union between the two treatments|Rate of complications|Cervical range of motion|Identify the risk factors for a poor outcome independent of treatment intervention","AO Clinical Investigation and Documentation|AOSpine North America","All","65 Years and older   (Older Adult)","Phase 4","166","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","06-Odont-02","January 2006","October 2010","March 2012","January 31, 2006","null","March 26, 2014","Emory University SOM: Orthopedics, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT00283998"
